El Greco,16
Min syster och jag,3
The Man Who Paid,2
Breekpunt,4
Give My Regards to Broadway,7
This Is Not a Test,20
Miss Susie Slagle's,2
The Monster of Piedras Blancas,2
Shadows Over Chinatown,2
Brief Moment,2
Der Brieföffner,2
Abraham Lincoln: Vampire Hunter,11
Ponzio Pilato,2
The Limping Man,10
Nicholas Nickleby,21
Body and Soul,294
La belva,2
The Natural,18
Developing,3
Club de rencontres,2
Slam Dance,2
Striking Distance,5
A Weaver of Dreams,2
The Unknown Terror,7
Libertas,10
Basket Case,31
Death Academy,2
Boggy Creek,2
Satan's Slave,3
Chance of a Lifetime,44
Mon meilleur ami,6
The Tomb,36
Cookie's Fortune,2
Within These Walls,12
The Way We Were,37
Posse,18
Deep Blue Sea,8
The Better Angels,2
Second Fiddle,36
Maami,2
You,42
Meet the Browns,4
All We Had,3
The Scarlet Web,2
The Zero Theorem,2
You Can't Beat the Law,2
Hochzeitspolka,2
Der zweite Schuß,3
The Ghost and the Guest,2
Stradivari,2
Mercury Rising,8
Pretty in Pink,21
Don't Say Die,2
Veerappan,3
Valkyrie,6
1918,6
His & Hers,16
Delirious,12
Rose Bowl,4
Bravo! Bravo!,2
Die Brücke,16
The Last of Mrs. Cheyney,8
Khartoum,2
Molly and Me,4
Rise of the Planet of the Apes,7
Girl Trouble,22
Underworld,144
The Little Girl Who Lives Down the Lane,2
Oregon Trail,5
Dark Star,13
The Lord of the Rings: The Return of the King,3
The Homestretch,12
The Menace,7
Mesa of Lost Women,6
The Case of the Lucky Legs,2
Mandingo,3
Il gaucho,2
Return to Sleepaway Camp,2
Sweet Revenge,180
When the Wind Blows,16
Shark,42
The Chairman,5
Mittsommernacht,2
The Little Damozel,4
Quinceañera,16
Insurgent,11
Cloro,5
The Bulldog Breed,2
Fracture,90
To Kill a Priest,2
The Tangle,6
The Circular Staircase,2
Mara,33
Duel in the Sun,2
Aladdin and the Wonderful Lamp,7
Tease for Two,2
The Purple Heart,2
Prostitute,5
If a Man Answers,3
The Art of War,23
The Plank,3
The Great Bank Robbery,6
Nordeste,2
MacArthur,3
The Passion of the Christ,6
After the Silence,3
Mein ist die Rache,5
A Ghost Story,12
Gascoigne,2
The Long Memory,4
